areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2022-03-05,18_to_64,727.6,247336
E92000001,England,nation,2022-03-05,0_to_5,268.7,10558
E92000001,England,nation,2022-03-05,6_to_17,116.1,9479
E92000001,England,nation,2022-03-05,85+,8509.2,119674
E92000001,England,nation,2022-03-05,65_to_84,2682.0,242928
E92000001,England,nation,2022-03-04,18_to_64,726.7,247021
E92000001,England,nation,2022-03-04,0_to_5,267.7,10517
E92000001,England,nation,2022-03-04,6_to_17,115.9,9459
E92000001,England,nation,2022-03-04,85+,8488.8,119388
E92000001,England,nation,2022-03-04,65_to_84,2677.8,242544
E92000001,England,nation,2022-03-03,18_to_64,725.8,246705
E92000001,England,nation,2022-03-03,0_to_5,266.7,10479
E92000001,England,nation,2022-03-03,6_to_17,115.5,9432
E92000001,England,nation,2022-03-03,85+,8471.4,119143
E92000001,England,nation,2022-03-03,65_to_84,2673.2,242130
E92000001,England,nation,2022-03-02,18_to_64,724.7,246338
E92000001,England,nation,2022-03-02,0_to_5,265.8,10443
E92000001,England,nation,2022-03-02,6_to_17,115.2,9402
E92000001,England,nation,2022-03-02,85+,8449.2,118830
E92000001,England,nation,2022-03-02,65_to_84,2667.9,241652
E92000001,England,nation,2022-03-01,18_to_64,723.6,245962
E92000001,England,nation,2022-03-01,0_to_5,265.0,10411
E92000001,England,nation,2022-03-01,6_to_17,114.8,9375
E92000001,England,nation,2022-03-01,85+,8428.4,118538
E92000001,England,nation,2022-03-01,65_to_84,2662.9,241195
E92000001,England,nation,2022-02-28,18_to_64,722.5,245601
E92000001,England,nation,2022-02-28,0_to_5,264.1,10377
E92000001,England,nation,2022-02-28,6_to_17,114.6,9356
E92000001,England,nation,2022-02-28,85+,8411.1,118295
E92000001,England,nation,2022-02-28,65_to_84,2657.9,240741
E92000001,England,nation,2022-02-27,18_to_64,721.5,245254
E92000001,England,nation,2022-02-27,0_to_5,263.3,10345
E92000001,England,nation,2022-02-27,6_to_17,114.2,9322
E92000001,England,nation,2022-02-27,85+,8392.9,118039
E92000001,England,nation,2022-02-27,65_to_84,2652.7,240268
E92000001,England,nation,2022-02-26,18_to_64,720.7,244989
E92000001,England,nation,2022-02-26,0_to_5,262.7,10320
E92000001,England,nation,2022-02-26,6_to_17,113.8,9295
E92000001,England,nation,2022-02-26,85+,8375.9,117799
E92000001,England,nation,2022-02-26,65_to_84,2648.4,239878
E92000001,England,nation,2022-02-25,18_to_64,720.0,244740
E92000001,England,nation,2022-02-25,0_to_5,261.8,10284
E92000001,England,nation,2022-02-25,6_to_17,113.7,9286
E92000001,England,nation,2022-02-25,85+,8361.6,117598
E92000001,England,nation,2022-02-25,65_to_84,2644.1,239488
E92000001,England,nation,2022-02-24,18_to_64,719.2,244491
E92000001,England,nation,2022-02-24,0_to_5,261.0,10254
E92000001,England,nation,2022-02-24,6_to_17,113.6,9271
E92000001,England,nation,2022-02-24,85+,8347.6,117401
E92000001,England,nation,2022-02-24,65_to_84,2640.2,239139
E92000001,England,nation,2022-02-23,18_to_64,718.3,244168
E92000001,England,nation,2022-02-23,0_to_5,260.3,10225
E92000001,England,nation,2022-02-23,6_to_17,113.3,9248
E92000001,England,nation,2022-02-23,85+,8331.9,117180
E92000001,England,nation,2022-02-23,65_to_84,2635.9,238753
E92000001,England,nation,2022-02-22,18_to_64,717.4,243860
E92000001,England,nation,2022-02-22,0_to_5,259.4,10190
E92000001,England,nation,2022-02-22,6_to_17,112.9,9220
E92000001,England,nation,2022-02-22,85+,8315.0,116943
E92000001,England,nation,2022-02-22,65_to_84,2631.9,238386
E92000001,England,nation,2022-02-21,18_to_64,716.4,243539
E92000001,England,nation,2022-02-21,0_to_5,258.5,10156
E92000001,England,nation,2022-02-21,6_to_17,112.6,9197
E92000001,England,nation,2022-02-21,85+,8298.9,116717
E92000001,England,nation,2022-02-21,65_to_84,2627.8,238014
E92000001,England,nation,2022-02-20,18_to_64,715.5,243212
E92000001,England,nation,2022-02-20,0_to_5,257.7,10126
E92000001,England,nation,2022-02-20,6_to_17,112.3,9172
E92000001,England,nation,2022-02-20,85+,8282.1,116480
E92000001,England,nation,2022-02-20,65_to_84,2623.3,237604
E92000001,England,nation,2022-02-19,18_to_64,714.6,242903
E92000001,England,nation,2022-02-19,0_to_5,257.1,10101
E92000001,England,nation,2022-02-19,6_to_17,112.1,9149
E92000001,England,nation,2022-02-19,85+,8266.8,116265
E92000001,England,nation,2022-02-19,65_to_84,2618.9,237206
E92000001,England,nation,2022-02-18,18_to_64,713.8,242653
E92000001,England,nation,2022-02-18,0_to_5,256.2,10067
E92000001,England,nation,2022-02-18,6_to_17,111.8,9125
E92000001,England,nation,2022-02-18,85+,8253.4,116076
E92000001,England,nation,2022-02-18,65_to_84,2615.1,236870
E92000001,England,nation,2022-02-17,18_to_64,713.0,242359
E92000001,England,nation,2022-02-17,0_to_5,255.3,10029
E92000001,England,nation,2022-02-17,6_to_17,111.5,9100
E92000001,England,nation,2022-02-17,85+,8239.6,115882
E92000001,England,nation,2022-02-17,65_to_84,2611.3,236522
E92000001,England,nation,2022-02-16,18_to_64,712.0,242040
E92000001,England,nation,2022-02-16,0_to_5,254.3,9992
E92000001,England,nation,2022-02-16,6_to_17,111.1,9069
E92000001,England,nation,2022-02-16,85+,8224.2,115666
E92000001,England,nation,2022-02-16,65_to_84,2607.2,236154
E92000001,England,nation,2022-02-15,18_to_64,711.0,241687
E92000001,England,nation,2022-02-15,0_to_5,253.1,9942
E92000001,England,nation,2022-02-15,6_to_17,110.5,9025
E92000001,England,nation,2022-02-15,85+,8206.1,115411
E92000001,England,nation,2022-02-15,65_to_84,2602.6,235736
E92000001,England,nation,2022-02-14,18_to_64,709.8,241286
E92000001,England,nation,2022-02-14,0_to_5,252.2,9909
