areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumCasesBySpecimenDateRate,newCasesBySpecimenDate
E92000001,England,nation,2022-02-27,16059214,28398.2,13347
E92000001,England,nation,2022-02-26,16045867,28374.6,16583
E92000001,England,nation,2022-02-25,16029284,28345.3,18950
E92000001,England,nation,2022-02-24,16010334,28311.8,21511
E92000001,England,nation,2022-02-23,15988823,28273.7,25667
E92000001,England,nation,2022-02-22,15963156,28228.3,27758
E92000001,England,nation,2022-02-21,15935398,28179.2,32918
E92000001,England,nation,2022-02-20,15902480,28121.0,28354
E92000001,England,nation,2022-02-19,15874126,28070.9,26354
E92000001,England,nation,2022-02-18,15847772,28024.3,24854
E92000001,England,nation,2022-02-17,15822918,27980.3,34003
E92000001,England,nation,2022-02-16,15788915,27920.2,39242
E92000001,England,nation,2022-02-15,15749673,27850.8,39924
E92000001,England,nation,2022-02-14,15709749,27780.2,42262
E92000001,England,nation,2022-02-13,15667487,27705.5,32304
E92000001,England,nation,2022-02-12,15635183,27648.4,29020
E92000001,England,nation,2022-02-11,15606163,27597.0,34791
E92000001,England,nation,2022-02-10,15571372,27535.5,41113
E92000001,England,nation,2022-02-09,15530259,27462.8,50618
E92000001,England,nation,2022-02-08,15479641,27373.3,54965
E92000001,England,nation,2022-02-07,15424676,27276.1,62299
E92000001,England,nation,2022-02-06,15362377,27165.9,49996
E92000001,England,nation,2022-02-05,15312381,27077.5,43070
E92000001,England,nation,2022-02-04,15269311,27001.4,52416
E92000001,England,nation,2022-02-03,15216895,26908.7,63925
E92000001,England,nation,2022-02-02,15152970,26795.6,73780
E92000001,England,nation,2022-02-01,15079190,26665.2,78147
E92000001,England,nation,2022-01-31,15001043,26527.0,88336
E92000001,England,nation,2022-01-30,14912707,26370.8,74783
E92000001,England,nation,2022-01-29,14837924,26238.5,62955
E92000001,England,nation,2022-01-28,14774969,26127.2,71654
E92000001,England,nation,2022-01-27,14703315,26000.5,82650
E92000001,England,nation,2022-01-26,14620665,25854.3,93172
E92000001,England,nation,2022-01-25,14527493,25689.6,96872
E92000001,England,nation,2022-01-24,14430621,25518.3,109112
