areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByPublishDate
K02000001,United Kingdom,overview,2022-03-01,5810
K02000001,United Kingdom,overview,2022-02-28,5788
K02000001,United Kingdom,overview,2022-02-27,4841
K02000001,United Kingdom,overview,2022-02-26,9471
K02000001,United Kingdom,overview,2022-02-25,8109
K02000001,United Kingdom,overview,2022-02-24,7963
K02000001,United Kingdom,overview,2022-02-23,8985
K02000001,United Kingdom,overview,2022-02-22,8291
K02000001,United Kingdom,overview,2022-02-21,7411
K02000001,United Kingdom,overview,2022-02-20,5470
K02000001,United Kingdom,overview,2022-02-19,10773
K02000001,United Kingdom,overview,2022-02-18,5886
K02000001,United Kingdom,overview,2022-02-17,9254
K02000001,United Kingdom,overview,2022-02-16,10914
K02000001,United Kingdom,overview,2022-02-15,9091
K02000001,United Kingdom,overview,2022-02-14,8107
K02000001,United Kingdom,overview,2022-02-13,7494
K02000001,United Kingdom,overview,2022-02-12,15181
K02000001,United Kingdom,overview,2022-02-11,11075
K02000001,United Kingdom,overview,2022-02-10,11614
K02000001,United Kingdom,overview,2022-02-09,10523
K02000001,United Kingdom,overview,2022-02-08,10804
K02000001,United Kingdom,overview,2022-02-07,10106
K02000001,United Kingdom,overview,2022-02-06,8321
K02000001,United Kingdom,overview,2022-02-05,14794
K02000001,United Kingdom,overview,2022-02-04,15151
K02000001,United Kingdom,overview,2022-02-03,13343
K02000001,United Kingdom,overview,2022-02-02,12466
K02000001,United Kingdom,overview,2022-02-01,12735
K02000001,United Kingdom,overview,2022-01-31,15329
K02000001,United Kingdom,overview,2022-01-30,11684
K02000001,United Kingdom,overview,2022-01-29,18946
K02000001,United Kingdom,overview,2022-01-28,16949
K02000001,United Kingdom,overview,2022-01-27,15706
K02000001,United Kingdom,overview,2022-01-26,15358
K02000001,United Kingdom,overview,2022-01-25,13936
K02000001,United Kingdom,overview,2022-01-24,16005
K02000001,United Kingdom,overview,2022-01-23,12266
K02000001,United Kingdom,overview,2022-01-22,20378
K02000001,United Kingdom,overview,2022-01-21,17532
K02000001,United Kingdom,overview,2022-01-20,17806
K02000001,United Kingdom,overview,2022-01-19,16949
K02000001,United Kingdom,overview,2022-01-18,18032
K02000001,United Kingdom,overview,2022-01-17,15748
K02000001,United Kingdom,overview,2022-01-16,17700
K02000001,United Kingdom,overview,2022-01-15,27409
K02000001,United Kingdom,overview,2022-01-14,20878
K02000001,United Kingdom,overview,2022-01-13,20521
K02000001,United Kingdom,overview,2022-01-12,19520
K02000001,United Kingdom,overview,2022-01-11,19276
K02000001,United Kingdom,overview,2022-01-10,17954
K02000001,United Kingdom,overview,2022-01-09,22205
K02000001,United Kingdom,overview,2022-01-08,31689
K02000001,United Kingdom,overview,2022-01-07,23422
K02000001,United Kingdom,overview,2022-01-06,22741
K02000001,United Kingdom,overview,2022-01-05,29030
K02000001,United Kingdom,overview,2022-01-04,24866
K02000001,United Kingdom,overview,2022-01-03,19158
K02000001,United Kingdom,overview,2022-01-02,12449
K02000001,United Kingdom,overview,2022-01-01,2277
K02000001,United Kingdom,overview,2021-12-31,15384
K02000001,United Kingdom,overview,2021-12-30,33371
K02000001,United Kingdom,overview,2021-12-29,32607
K02000001,United Kingdom,overview,2021-12-28,23859
K02000001,United Kingdom,overview,2021-12-27,18191
K02000001,United Kingdom,overview,2021-12-26,1935
K02000001,United Kingdom,overview,2021-12-25,955
K02000001,United Kingdom,overview,2021-12-24,10770
K02000001,United Kingdom,overview,2021-12-23,32605
K02000001,United Kingdom,overview,2021-12-22,39309
K02000001,United Kingdom,overview,2021-12-21,39955
K02000001,United Kingdom,overview,2021-12-20,39793
K02000001,United Kingdom,overview,2021-12-19,33151
K02000001,United Kingdom,overview,2021-12-18,38329
K02000001,United Kingdom,overview,2021-12-17,32890
K02000001,United Kingdom,overview,2021-12-16,32677
K02000001,United Kingdom,overview,2021-12-15,28067
K02000001,United Kingdom,overview,2021-12-14,34082
K02000001,United Kingdom,overview,2021-12-13,19671
K02000001,United Kingdom,overview,2021-12-12,23317
K02000001,United Kingdom,overview,2021-12-11,26291
K02000001,United Kingdom,overview,2021-12-10,22063
K02000001,United Kingdom,overview,2021-12-09,24039
K02000001,United Kingdom,overview,2021-12-08,21700
K02000001,United Kingdom,overview,2021-12-07,23512
K02000001,United Kingdom,overview,2021-12-06,19979
K02000001,United Kingdom,overview,2021-12-05,21955
K02000001,United Kingdom,overview,2021-12-04,26914
K02000001,United Kingdom,overview,2021-12-03,23264
K02000001,United Kingdom,overview,2021-12-02,25848
K02000001,United Kingdom,overview,2021-12-01,26028
K02000001,United Kingdom,overview,2021-11-30,30539
K02000001,United Kingdom,overview,2021-11-29,22391
K02000001,United Kingdom,overview,2021-11-28,21493
K02000001,United Kingdom,overview,2021-11-27,23808
K02000001,United Kingdom,overview,2021-11-26,20314
K02000001,United Kingdom,overview,2021-11-25,23579
K02000001,United Kingdom,overview,2021-11-24,24579
K02000001,United Kingdom,overview,2021-11-23,26822
K02000001,United Kingdom,overview,2021-11-22,23258
K02000001,United Kingdom,overview,2021-11-21,16424
K02000001,United Kingdom,overview,2021-11-20,26013
K02000001,United Kingdom,overview,2021-11-19,27084
K02000001,United Kingdom,overview,2021-11-18,28880
K02000001,United Kingdom,overview,2021-11-17,33092
K02000001,United Kingdom,overview,2021-11-16,31431
K02000001,United Kingdom,overview,2021-11-15,32046
K02000001,United Kingdom,overview,2021-11-14,22938
K02000001,United Kingdom,overview,2021-11-13,33527
K02000001,United Kingdom,overview,2021-11-12,34338
K02000001,United Kingdom,overview,2021-11-11,36383
K02000001,United Kingdom,overview,2021-11-10,119188
K02000001,United Kingdom,overview,2021-11-09,39836
K02000001,United Kingdom,overview,2021-11-08,33559
K02000001,United Kingdom,overview,2021-11-07,25840
K02000001,United Kingdom,overview,2021-11-06,36748
K02000001,United Kingdom,overview,2021-11-05,43491
K02000001,United Kingdom,overview,2021-11-04,43731
K02000001,United Kingdom,overview,2021-11-03,41242
K02000001,United Kingdom,overview,2021-11-02,46663
K02000001,United Kingdom,overview,2021-11-01,37695
