areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2022-02-28,49014524
K02000001,United Kingdom,overview,2022-02-27,49000222
K02000001,United Kingdom,overview,2022-02-26,48989616
K02000001,United Kingdom,overview,2022-02-25,48969964
K02000001,United Kingdom,overview,2022-02-24,48953594
K02000001,United Kingdom,overview,2022-02-23,48937756
K02000001,United Kingdom,overview,2022-02-22,48919805
K02000001,United Kingdom,overview,2022-02-21,48901901
K02000001,United Kingdom,overview,2022-02-20,48885893
K02000001,United Kingdom,overview,2022-02-19,48875329
K02000001,United Kingdom,overview,2022-02-18,48854553
K02000001,United Kingdom,overview,2022-02-17,48839853
K02000001,United Kingdom,overview,2022-02-16,48818475
K02000001,United Kingdom,overview,2022-02-15,48796561
K02000001,United Kingdom,overview,2022-02-14,48777079
K02000001,United Kingdom,overview,2022-02-13,48758907
K02000001,United Kingdom,overview,2022-02-12,48745284
K02000001,United Kingdom,overview,2022-02-11,48718975
K02000001,United Kingdom,overview,2022-02-10,48693091
K02000001,United Kingdom,overview,2022-02-09,48666801
K02000001,United Kingdom,overview,2022-02-08,48642076
K02000001,United Kingdom,overview,2022-02-07,48617355
K02000001,United Kingdom,overview,2022-02-06,48594494
K02000001,United Kingdom,overview,2022-02-05,48577889
K02000001,United Kingdom,overview,2022-02-04,48549694
K02000001,United Kingdom,overview,2022-02-03,48520513
K02000001,United Kingdom,overview,2022-02-02,48494414
K02000001,United Kingdom,overview,2022-02-01,48467140
K02000001,United Kingdom,overview,2022-01-31,48440773
K02000001,United Kingdom,overview,2022-01-30,48416498
K02000001,United Kingdom,overview,2022-01-29,48388897
K02000001,United Kingdom,overview,2022-01-28,48348568
K02000001,United Kingdom,overview,2022-01-27,48314633
K02000001,United Kingdom,overview,2022-01-26,48284685
K02000001,United Kingdom,overview,2022-01-25,48253766
K02000001,United Kingdom,overview,2022-01-24,48224978
K02000001,United Kingdom,overview,2022-01-23,48195145
K02000001,United Kingdom,overview,2022-01-22,48164435
K02000001,United Kingdom,overview,2022-01-21,48116670
K02000001,United Kingdom,overview,2022-01-20,48082636
K02000001,United Kingdom,overview,2022-01-19,48048962
K02000001,United Kingdom,overview,2022-01-18,48019069
K02000001,United Kingdom,overview,2022-01-17,47989635
K02000001,United Kingdom,overview,2022-01-16,47963133
K02000001,United Kingdom,overview,2022-01-15,47926017
K02000001,United Kingdom,overview,2022-01-14,47867967
K02000001,United Kingdom,overview,2022-01-13,47836785
K02000001,United Kingdom,overview,2022-01-12,47804588
K02000001,United Kingdom,overview,2022-01-11,47774248
K02000001,United Kingdom,overview,2022-01-10,47745458
K02000001,United Kingdom,overview,2022-01-09,47718730
K02000001,United Kingdom,overview,2022-01-08,47687370
K02000001,United Kingdom,overview,2022-01-07,47635655
K02000001,United Kingdom,overview,2022-01-06,47600028
K02000001,United Kingdom,overview,2022-01-05,47565340
K02000001,United Kingdom,overview,2022-01-04,47523676
K02000001,United Kingdom,overview,2022-01-03,47482789
K02000001,United Kingdom,overview,2022-01-02,47453494
K02000001,United Kingdom,overview,2022-01-01,47437009
K02000001,United Kingdom,overview,2021-12-31,47434251
K02000001,United Kingdom,overview,2021-12-30,47412181
K02000001,United Kingdom,overview,2021-12-29,47368074
K02000001,United Kingdom,overview,2021-12-28,47324308
K02000001,United Kingdom,overview,2021-12-27,47294774
K02000001,United Kingdom,overview,2021-12-26,47271068
K02000001,United Kingdom,overview,2021-12-25,47268984
K02000001,United Kingdom,overview,2021-12-24,47268067
K02000001,United Kingdom,overview,2021-12-23,47254099
K02000001,United Kingdom,overview,2021-12-22,47210053
K02000001,United Kingdom,overview,2021-12-21,47156899
K02000001,United Kingdom,overview,2021-12-20,47102814
K02000001,United Kingdom,overview,2021-12-19,47051876
