areaCode,areaName,areaType,date,newPeopleVaccinatedThirdInjectionByPublishDate
K02000001,United Kingdom,overview,2022-03-01,22679
K02000001,United Kingdom,overview,2022-02-28,23428
K02000001,United Kingdom,overview,2022-02-27,15710
K02000001,United Kingdom,overview,2022-02-26,28468
K02000001,United Kingdom,overview,2022-02-25,29215
K02000001,United Kingdom,overview,2022-02-24,26176
K02000001,United Kingdom,overview,2022-02-23,29782
K02000001,United Kingdom,overview,2022-02-22,30605
K02000001,United Kingdom,overview,2022-02-21,29154
K02000001,United Kingdom,overview,2022-02-20,18602
K02000001,United Kingdom,overview,2022-02-19,32876
K02000001,United Kingdom,overview,2022-02-18,25678
K02000001,United Kingdom,overview,2022-02-17,34578
K02000001,United Kingdom,overview,2022-02-16,34980
K02000001,United Kingdom,overview,2022-02-15,57802
K02000001,United Kingdom,overview,2022-02-14,32050
K02000001,United Kingdom,overview,2022-02-13,19000
K02000001,United Kingdom,overview,2022-02-12,40102
K02000001,United Kingdom,overview,2022-02-11,42691
K02000001,United Kingdom,overview,2022-02-10,34203
K02000001,United Kingdom,overview,2022-02-09,32476
K02000001,United Kingdom,overview,2022-02-08,31720
K02000001,United Kingdom,overview,2022-02-07,32627
K02000001,United Kingdom,overview,2022-02-06,19805
K02000001,United Kingdom,overview,2022-02-05,37698
K02000001,United Kingdom,overview,2022-02-04,37896
K02000001,United Kingdom,overview,2022-02-03,38913
K02000001,United Kingdom,overview,2022-02-02,39037
K02000001,United Kingdom,overview,2022-02-01,37984
K02000001,United Kingdom,overview,2022-01-31,39062
K02000001,United Kingdom,overview,2022-01-30,33699
K02000001,United Kingdom,overview,2022-01-29,54001
K02000001,United Kingdom,overview,2022-01-28,57423
K02000001,United Kingdom,overview,2022-01-27,52956
K02000001,United Kingdom,overview,2022-01-26,54464
K02000001,United Kingdom,overview,2022-01-25,53542
K02000001,United Kingdom,overview,2022-01-24,55877
K02000001,United Kingdom,overview,2022-01-23,42724
K02000001,United Kingdom,overview,2022-01-22,73223
K02000001,United Kingdom,overview,2022-01-21,71468
K02000001,United Kingdom,overview,2022-01-20,65203
K02000001,United Kingdom,overview,2022-01-19,66770
K02000001,United Kingdom,overview,2022-01-18,75088
K02000001,United Kingdom,overview,2022-01-17,73267
K02000001,United Kingdom,overview,2022-01-16,61096
K02000001,United Kingdom,overview,2022-01-15,108792
K02000001,United Kingdom,overview,2022-01-14,111704
K02000001,United Kingdom,overview,2022-01-13,111849
K02000001,United Kingdom,overview,2022-01-12,126632
K02000001,United Kingdom,overview,2022-01-11,139584
K02000001,United Kingdom,overview,2022-01-10,149495
K02000001,United Kingdom,overview,2022-01-09,141495
K02000001,United Kingdom,overview,2022-01-08,235005
K02000001,United Kingdom,overview,2022-01-07,221520
K02000001,United Kingdom,overview,2022-01-06,231856
K02000001,United Kingdom,overview,2022-01-05,247478
K02000001,United Kingdom,overview,2022-01-04,222824
K02000001,United Kingdom,overview,2022-01-03,141825
K02000001,United Kingdom,overview,2022-01-02,111491
K02000001,United Kingdom,overview,2022-01-01,18872
K02000001,United Kingdom,overview,2021-12-31,167060
K02000001,United Kingdom,overview,2021-12-30,397554
K02000001,United Kingdom,overview,2021-12-29,435293
K02000001,United Kingdom,overview,2021-12-28,325087
K02000001,United Kingdom,overview,2021-12-27,273485
K02000001,United Kingdom,overview,2021-12-26,22983
K02000001,United Kingdom,overview,2021-12-25,10480
K02000001,United Kingdom,overview,2021-12-24,169369
K02000001,United Kingdom,overview,2021-12-23,605561
K02000001,United Kingdom,overview,2021-12-22,840038
K02000001,United Kingdom,overview,2021-12-21,968665
K02000001,United Kingdom,overview,2021-12-20,897979
K02000001,United Kingdom,overview,2021-12-19,846466
K02000001,United Kingdom,overview,2021-12-18,940606
K02000001,United Kingdom,overview,2021-12-17,852521
K02000001,United Kingdom,overview,2021-12-16,861306
K02000001,United Kingdom,overview,2021-12-15,745183
K02000001,United Kingdom,overview,2021-12-14,656711
K02000001,United Kingdom,overview,2021-12-13,513722
K02000001,United Kingdom,overview,2021-12-12,397532
K02000001,United Kingdom,overview,2021-12-11,550253
K02000001,United Kingdom,overview,2021-12-10,428961
K02000001,United Kingdom,overview,2021-12-09,469479
K02000001,United Kingdom,overview,2021-12-08,414645
K02000001,United Kingdom,overview,2021-12-07,391050
K02000001,United Kingdom,overview,2021-12-06,329165
K02000001,United Kingdom,overview,2021-12-05,290165
K02000001,United Kingdom,overview,2021-12-04,464616
K02000001,United Kingdom,overview,2021-12-03,388978
K02000001,United Kingdom,overview,2021-12-02,420910
K02000001,United Kingdom,overview,2021-12-01,407851
K02000001,United Kingdom,overview,2021-11-30,392589
K02000001,United Kingdom,overview,2021-11-29,318671
K02000001,United Kingdom,overview,2021-11-28,285335
