areaCode,areaName,areaType,date,age,VaccineRegisterPopulationByVaccinationDate,cumPeopleVaccinatedCompleteByVaccinationDate,newPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage,cumVaccinationCompleteCoverageByVaccinationDatePercentage
E92000001,England,nation,2022/2/23,12_15,2888279,732447,7006,1621265,1640,732447,7006,4988,111,56.1,25.4,0.2,25.4
E92000001,England,nation,2022/2/23,16_17,1376450,682598,1460,929322,474,682598,1460,105002,1583,67.5,49.6,7.6,49.6
E92000001,England,nation,2022/2/23,18_24,5416136,3435537,1808,3866256,1288,3435537,1808,1858054,3994,71.4,63.4,34.3,63.4
E92000001,England,nation,2022/2/23,25_29,4559729,2847248,1114,3114461,663,2847248,1114,1666078,2821,68.3,62.4,36.5,62.4
E92000001,England,nation,2022/2/23,30_34,4854858,3159231,900,3396385,494,3159231,900,2008851,2361,70,65.1,41.4,65.1
E92000001,England,nation,2022/2/23,35_39,4602178,3192082,607,3371640,324,3192082,607,2213218,1988,73.3,69.4,48.1,69.4
E92000001,England,nation,2022/2/23,40_44,4219362,3154891,383,3287528,191,3154891,383,2382004,1541,77.9,74.8,56.5,74.8
E92000001,England,nation,2022/2/23,45_49,4000916,3216743,277,3315739,141,3216743,277,2601731,1215,82.9,80.4,65,80.4
E92000001,England,nation,2022/2/23,50_54,4250390,3621248,161,3703268,100,3621248,161,3121221,974,87.1,85.2,73.4,85.2
E92000001,England,nation,2022/2/23,55_59,4121728,3619292,137,3684789,79,3619292,137,3225226,788,89.4,87.8,78.2,87.8
E92000001,England,nation,2022/2/23,60_64,3506987,3146158,88,3193053,63,3146158,88,2888280,488,91,89.7,82.4,89.7
E92000001,England,nation,2022/2/23,65_69,2915275,2671387,52,2703055,39,2671387,52,2530794,313,92.7,91.6,86.8,91.6
E92000001,England,nation,2022/2/23,70_74,2850235,2677905,41,2701071,22,2677905,41,2584005,254,94.8,94,90.7,94
E92000001,England,nation,2022/2/23,75_79,2139023,2035149,21,2050110,20,2035149,21,1973579,143,95.8,95.1,92.3,95.1
E92000001,England,nation,2022/2/23,80_84,1416124,1349447,18,1358622,9,1349447,18,1300383,131,95.9,95.3,91.8,95.3
E92000001,England,nation,2022/2/23,85_89,862110,821334,10,826991,4,821334,10,786922,73,95.9,95.3,91.3,95.3
E92000001,England,nation,2022/2/23,90+,471630,441415,2,444775,7,441415,2,419770,32,94.3,93.6,89,93.6
E92000001,England,nation,2022/2/22,12_15,2888279,725441,7724,1619625,1847,725441,7724,4877,123,56.1,25.1,0.2,25.1
E92000001,England,nation,2022/2/22,16_17,1376450,681138,1354,928848,389,681138,1354,103419,1468,67.5,49.5,7.5,49.5
E92000001,England,nation,2022/2/22,18_24,5416136,3433729,1588,3864968,1149,3433729,1588,1854060,3876,71.4,63.4,34.2,63.4
E92000001,England,nation,2022/2/22,25_29,4559729,2846134,1043,3113798,592,2846134,1043,1663257,3011,68.3,62.4,36.5,62.4
E92000001,England,nation,2022/2/22,30_34,4854858,3158331,884,3395891,453,3158331,884,2006490,2602,69.9,65.1,41.3,65.1
E92000001,England,nation,2022/2/22,35_39,4602178,3191475,567,3371316,327,3191475,567,2211230,2175,73.3,69.3,48,69.3
E92000001,England,nation,2022/2/22,40_44,4219362,3154508,340,3287337,185,3154508,340,2380463,1533,77.9,74.8,56.4,74.8
E92000001,England,nation,2022/2/22,45_49,4000916,3216466,276,3315598,133,3216466,276,2600516,1350,82.9,80.4,65,80.4
E92000001,England,nation,2022/2/22,50_54,4250390,3621087,164,3703168,117,3621087,164,3120247,985,87.1,85.2,73.4,85.2
E92000001,England,nation,2022/2/22,55_59,4121728,3619155,133,3684710,80,3619155,133,3224438,737,89.4,87.8,78.2,87.8
E92000001,England,nation,2022/2/22,60_64,3506987,3146070,86,3192990,56,3146070,86,2887792,461,91,89.7,82.3,89.7
E92000001,England,nation,2022/2/22,65_69,2915275,2671335,47,2703016,46,2671335,47,2530481,298,92.7,91.6,86.8,91.6
E92000001,England,nation,2022/2/22,70_74,2850235,2677864,25,2701049,28,2677864,25,2583751,234,94.8,94,90.7,94
E92000001,England,nation,2022/2/22,75_79,2139023,2035128,16,2050090,13,2035128,16,1973436,155,95.8,95.1,92.3,95.1
E92000001,England,nation,2022/2/22,80_84,1416124,1349429,9,1358613,10,1349429,9,1300252,99,95.9,95.3,91.8,95.3
E92000001,England,nation,2022/2/22,85_89,862110,821324,3,826987,4,821324,3,786849,71,95.9,95.3,91.3,95.3
E92000001,England,nation,2022/2/22,90+,471630,441413,7,444768,2,441413,7,419738,52,94.3,93.6,89,93.6
E92000001,England,nation,2022/2/21,12_15,2888279,717717,6301,1617778,1526,717717,6301,4754,99,56,24.8,0.2,24.8
E92000001,England,nation,2022/2/21,16_17,1376450,679784,1190,928459,407,679784,1190,101951,1114,67.5,49.4,7.4,49.4
E92000001,England,nation,2022/2/21,18_24,5416136,3432141,1439,3863819,1065,3432141,1439,1850184,3713,71.3,63.4,34.2,63.4
E92000001,England,nation,2022/2/21,25_29,4559729,2845091,917,3113206,602,2845091,917,1660246,2795,68.3,62.4,36.4,62.4
E92000001,England,nation,2022/2/21,30_34,4854858,3157447,780,3395438,506,3157447,780,2003888,2403,69.9,65,41.3,65
E92000001,England,nation,2022/2/21,35_39,4602178,3190908,499,3370989,265,3190908,499,2209055,1826,73.2,69.3,48,69.3
E92000001,England,nation,2022/2/21,40_44,4219362,3154168,321,3287152,176,3154168,321,2378930,1390,77.9,74.8,56.4,74.8
E92000001,England,nation,2022/2/21,45_49,4000916,3216190,248,3315465,122,3216190,248,2599166,1238,82.9,80.4,65,80.4
E92000001,England,nation,2022/2/21,50_54,4250390,3620923,189,3703051,99,3620923,189,3119262,768,87.1,85.2,73.4,85.2
E92000001,England,nation,2022/2/21,55_59,4121728,3619022,113,3684630,54,3619022,113,3223701,632,89.4,87.8,78.2,87.8
E92000001,England,nation,2022/2/21,60_64,3506987,3145984,69,3192934,37,3145984,69,2887331,410,91,89.7,82.3,89.7
E92000001,England,nation,2022/2/21,65_69,2915275,2671288,35,2702970,30,2671288,35,2530183,240,92.7,91.6,86.8,91.6
E92000001,England,nation,2022/2/21,70_74,2850235,2677839,36,2701021,26,2677839,36,2583517,150,94.8,94,90.6,94
E92000001,England,nation,2022/2/21,75_79,2139023,2035112,9,2050077,12,2035112,9,1973281,113,95.8,95.1,92.3,95.1
E92000001,England,nation,2022/2/21,80_84,1416124,1349420,11,1358603,5,1349420,11,1300153,64,95.9,95.3,91.8,95.3
E92000001,England,nation,2022/2/21,85_89,862110,821321,5,826983,2,821321,5,786778,50,95.9,95.3,91.3,95.3
E92000001,England,nation,2022/2/21,90+,471630,441406,7,444766,1,441406,7,419686,27,94.3,93.6,89,93.6
E92000001,England,nation,2022/2/20,12_15,2888279,711416,4391,1616252,966,711416,4391,4655,67,56,24.6,0.2,24.6
E92000001,England,nation,2022/2/20,16_17,1376450,678594,839,928052,254,678594,839,100837,876,67.4,49.3,7.3,49.3
E92000001,England,nation,2022/2/20,18_24,5416136,3430702,852,3862754,607,3430702,852,1846471,2208,71.3,63.3,34.1,63.3
E92000001,England,nation,2022/2/20,25_29,4559729,2844174,548,3112604,367,2844174,548,1657451,1704,68.3,62.4,36.3,62.4
E92000001,England,nation,2022/2/20,30_34,4854858,3156667,485,3394932,266,3156667,485,2001485,1445,69.9,65,41.2,65
E92000001,England,nation,2022/2/20,35_39,4602178,3190409,307,3370724,165,3190409,307,2207229,1192,73.2,69.3,48,69.3
E92000001,England,nation,2022/2/20,40_44,4219362,3153847,180,3286976,93,3153847,180,2377540,854,77.9,74.7,56.3,74.7
E92000001,England,nation,2022/2/20,45_49,4000916,3215942,124,3315343,73,3215942,124,2597928,778,82.9,80.4,64.9,80.4
E92000001,England,nation,2022/2/20,50_54,4250390,3620734,74,3702952,40,3620734,74,3118494,540,87.1,85.2,73.4,85.2
E92000001,England,nation,2022/2/20,55_59,4121728,3618909,81,3684576,36,3618909,81,3223069,376,89.4,87.8,78.2,87.8
E92000001,England,nation,2022/2/20,60_64,3506987,3145915,36,3192897,22,3145915,36,2886921,188,91,89.7,82.3,89.7
E92000001,England,nation,2022/2/20,65_69,2915275,2671253,22,2702940,16,2671253,22,2529943,99,92.7,91.6,86.8,91.6
E92000001,England,nation,2022/2/20,70_74,2850235,2677803,13,2700995,8,2677803,13,2583367,84,94.8,94,90.6,94
E92000001,England,nation,2022/2/20,75_79,2139023,2035103,9,2050065,7,2035103,9,1973168,30,95.8,95.1,92.2,95.1
E92000001,England,nation,2022/2/20,80_84,1416124,1349409,4,1358598,4,1349409,4,1300089,17,95.9,95.3,91.8,95.3
E92000001,England,nation,2022/2/20,85_89,862110,821316,3,826981,1,821316,3,786728,10,95.9,95.3,91.3,95.3
E92000001,England,nation,2022/2/20,90+,471630,441399,1,444765,1,441399,1,419659,7,94.3,93.6,89,93.6
E92000001,England,nation,2022/2/19,12_15,2888279,707025,9201,1615286,2322,707025,9201,4588,193,55.9,24.5,0.2,24.5
E92000001,England,nation,2022/2/19,16_17,1376450,677755,1610,927798,529,677755,1610,99961,1661,67.4,49.2,7.3,49.2
E92000001,England,nation,2022/2/19,18_24,5416136,3429850,1963,3862147,1375,3429850,1963,1844263,4750,71.3,63.3,34.1,63.3
E92000001,England,nation,2022/2/19,25_29,4559729,2843626,1288,3112237,706,2843626,1288,1655747,3650,68.3,62.4,36.3,62.4
E92000001,England,nation,2022/2/19,30_34,4854858,3156182,1050,3394666,577,3156182,1050,2000040,3327,69.9,65,41.2,65
E92000001,England,nation,2022/2/19,35_39,4602178,3190102,704,3370559,388,3190102,704,2206037,2794,73.2,69.3,47.9,69.3
E92000001,England,nation,2022/2/19,40_44,4219362,3153667,454,3286883,193,3153667,454,2376686,2103,77.9,74.7,56.3,74.7
E92000001,England,nation,2022/2/19,45_49,4000916,3215818,336,3315270,132,3215818,336,2597150,1874,82.9,80.4,64.9,80.4
E92000001,England,nation,2022/2/19,50_54,4250390,3620660,224,3702912,115,3620660,224,3117954,1227,87.1,85.2,73.4,85.2
E92000001,England,nation,2022/2/19,55_59,4121728,3618828,161,3684540,82,3618828,161,3222693,936,89.4,87.8,78.2,87.8
E92000001,England,nation,2022/2/19,60_64,3506987,3145879,81,3192875,61,3145879,81,2886733,502,91,89.7,82.3,89.7
E92000001,England,nation,2022/2/19,65_69,2915275,2671231,66,2702924,37,2671231,66,2529844,274,92.7,91.6,86.8,91.6
E92000001,England,nation,2022/2/19,70_74,2850235,2677790,25,2700987,12,2677790,25,2583283,212,94.8,93.9,90.6,93.9
E92000001,England,nation,2022/2/19,75_79,2139023,2035094,21,2050058,12,2035094,21,1973138,106,95.8,95.1,92.2,95.1
E92000001,England,nation,2022/2/19,80_84,1416124,1349405,15,1358594,7,1349405,15,1300072,77,95.9,95.3,91.8,95.3
E92000001,England,nation,2022/2/19,85_89,862110,821313,7,826980,2,821313,7,786718,39,95.9,95.3,91.3,95.3
E92000001,England,nation,2022/2/19,90+,471630,441398,5,444764,1,441398,5,419652,31,94.3,93.6,89,93.6
E92000001,England,nation,2022/2/18,12_15,2888279,697824,5310,1612964,1334,697824,5310,4395,77,55.8,24.2,0.2,24.2
E92000001,England,nation,2022/2/18,16_17,1376450,676145,983,927269,353,676145,983,98300,794,67.4,49.1,7.1,49.1
E92000001,England,nation,2022/2/18,18_24,5416136,3427887,1295,3860772,793,3427887,1295,1839513,2943,71.3,63.3,34,63.3
E92000001,England,nation,2022/2/18,25_29,4559729,2842338,864,3111531,510,2842338,864,1652097,2443,68.2,62.3,36.2,62.3
E92000001,England,nation,2022/2/18,30_34,4854858,3155132,734,3394089,390,3155132,734,1996713,2268,69.9,65,41.1,65
E92000001,England,nation,2022/2/18,35_39,4602178,3189398,523,3370171,262,3189398,523,2203243,1776,73.2,69.3,47.9,69.3
E92000001,England,nation,2022/2/18,40_44,4219362,3153213,353,3286690,135,3153213,353,2374583,1412,77.9,74.7,56.3,74.7
E92000001,England,nation,2022/2/18,45_49,4000916,3215482,231,3315138,109,3215482,231,2595276,1260,82.9,80.4,64.9,80.4
E92000001,England,nation,2022/2/18,50_54,4250390,3620436,183,3702797,71,3620436,183,3116727,820,87.1,85.2,73.3,85.2
E92000001,England,nation,2022/2/18,55_59,4121728,3618667,144,3684458,47,3618667,144,3221757,680,89.4,87.8,78.2,87.8
E92000001,England,nation,2022/2/18,60_64,3506987,3145798,91,3192814,43,3145798,91,2886231,362,91,89.7,82.3,89.7
E92000001,England,nation,2022/2/18,65_69,2915275,2671165,48,2702887,33,2671165,48,2529570,188,92.7,91.6,86.8,91.6
E92000001,England,nation,2022/2/18,70_74,2850235,2677765,28,2700975,14,2677765,28,2583071,146,94.8,93.9,90.6,93.9
E92000001,England,nation,2022/2/18,75_79,2139023,2035073,13,2050046,9,2035073,13,1973032,92,95.8,95.1,92.2,95.1
E92000001,England,nation,2022/2/18,80_84,1416124,1349390,12,1358587,5,1349390,12,1299995,81,95.9,95.3,91.8,95.3
